Tweet,Label
"@littlecbeadles Stop Bullying !!! I LOVE YOU SO MUCH,FOLLOW ME PLASE? #yesIcan 59",1
Rebecca Black abandona escola após sofrer bullying http://t.co/l0XJuvV,0
"@ninjacodemonkey totally.  on one hand the retaliatory nature is pissy, on the other is great to see that bully-stick smackdown.",0
Heiii odah @faannn bsk ak g msk yah.. Jagain suheri yah.. Jgn smp si ijah @opiesiraru kalap buat bully suheri,0
"This is actually bullying , I want Wenger to watch this and fucking hold every piece of criticism that comes ! #RAGE",1
ya'apa-ya'apa? pilih bully ato L4D? hahaha @ramadhansetiadi @ItsGeryNotJerry,0
Amo que @MelCornelius sea mi pareja de hacer Bullying y planes malignos&lt;3 Te amo meli!!!!,0
@katie_ogden @boybandslut @StephWall27 @BAMitsSHAZ @xstephhh_ I was not bullying her! She's trying to steal Jean Martyn from meee! :'( xx,1
"Paula, Kiersten and LJ's song about bullying. Great job! (Uploading more videos now.) http://fb.me/ASIm1gw1",0
"Tipo assim, eu ainda não joguei esse The Sims, vou sofrer bullying por isso?",0
"bullying da twitcan com a @jvdias_ e @nandaduartesa, acho palho sás coisas",0
"@Underwalt @MsShandraRae @kateplusmy8 mr. walt, stop being a bully.",1
http://t.co/XHtRPSc @planetjedward anti-bullying campaign,0
#confiesoque sufro de bulling en mi escuela,0
Follow-Up to ' Signs Your Child Might Be Getting Bullied' #moms #dads http://t.co/vsfXkHD #parenting #kids,0
"emosi tingkat dewa, parah. puasa2 adaa aja ya yg nge bully-_-",0
Rebecca Black deixa escola por bullying: 'Eles me imitavam com uma voz nasalada' ~&gt; NEM SEI POR ONDE COMEÇA A PIADA HAHHAHAHA,0
I entered an AMZN 175/165 bull put spread for September. I am looking for 195 to go further long calls.,0
@TrickyStewart Hey!(: We Are Beliebers!(: Can YouTell BIEBER To Tweet Us!(: My Friend Has Been Bullied And Needs Cheered Up!XD,1
@Lariissa_pavao VOCÊ FEZ BULLYING! KKKKKKKKKKKKKKKK,0
"@tanjayabella hahahahaha.. Sem 1 gak ad emgnya?wkwk..pgen bully"" lo..wkwk",0
Lucuuuu.. BeaTweet @Salvminerva: Kartun yg di MNC TV apa dah... Kocak amat kadal gurun di bully ama musang... :)),0
@NadiraGandhi rip wat r u threatenin me on tha web u bully,0
@Nilton_Prensa @natygondiaz a mierd!!!!! jajajaja // jajajaja nos hacemos bullying mutuamente,0
"@YungPaidBlessed , He Used To Bully Yall In The Bathroom , Ll",1
"É verdade isso??  ""@bentoherculano: Criança de 13 anos acaba de suicidar-se no Marista em Natal,vítima de bullying...",0
I favorited a @YouTube video http://t.co/gwAHqri Bully Cat Stuffs Cat In Box,0
"@vivjones10 haha! They're actually pictures from an anti-bullying campaign, blessem",0
@Mkaygreene is a bully,1
aposto que vou sofrer bullying depois do meu próximo tweet,0
"Also started Bully: Scholarship edition today... Ok game. It's definately got the fun factor, can see it getting old quickly.",0
cesser l'intimidation - stop bullying.,0
"i think teuk went to hit someone because someone was bullying donghae? then when they went back, manager-hyun… (cont) http://t.co/9OtXplM",0
agora qualquer coisa é bullying respirar é bullying viver é bullying acordar é bullying falar a verdade é bullying,0
"Photoset: › “…he’s sensitive, people bully him, too, and he feels lonely and hasn’t got anybody to talk to,... http://tumblr.com/xxv3y1zfg7",0
Documentary about bullying of gays showing at Newbury Park community forum Aug 19th http://bit.ly/qODBSo,0
"Não é bullying se eu bater na pessoa que não para de cantar a aula inteira, né @susana_rsb !? HAHAHAHA",0
@Rannnny_x bully!,1
"Also, wishing Nick would die from diabetes? THAT'S LOW. And then you claim to be against bullying.. Yeah right!",0
http://t.co/XzO00sm Stand Up Day (stand up to bullying November 14),0
America;the bully.,0
ê caramba n vao deixar a Jessie J cantar mesmo ? Af bullying,0
"My 6 yo son is being bullied. It's really hard to know what to do. I'm shocked that it happens this early, this young. #canofbullies",1
#SleepnSync: Make sure that your child is being bullied and not just bothered in a non-recurring way. #Bullying http://ow.ly/6ajMN,0
@thatcountenance @Lweiting she bully me :(,1
"U all should whatch this video about bullying, and help take apart in ending it http://t.co/XVsagvI @bellathorne143",0
[110830/TRANS] Strong Heart - Donghae Being Bullied - vampiremochi: Awwww… Teukie hyung~~~ poor nano ~~~... http://t.co/JIAjHWj,0
@LordFIMM @bentleysbird @candida6 I unfollowed AvonSpurs a few days ago as believe he's  a cyber bully & a complete cock. I stand by it.,1
@bullysteria @HellsofHidden  Me encantó el video! Me encantó! Aaaaah! Ya les dije que me encantó!?!?! Una vez mas gracias Bully!,0
@JusLick_Kay Quit Bullying Them,1
"Then I thought he bullied me because he loved me, but he prooved I was wrong , one more time.",1
"This year's bully target : the shah rukh khan wannabe, @DikFerr muahahaha http://t.co/oWwfWvy",0
@Waterfalls_Mh bully,0
@randvalentine seriously lol how ppl tryna bully there ?? Takin lunch money or what,0
"@ryanbyrd @arkychicky maybe ""bullying"" is a better word than ""internet rape""?",0
A common -MYTH- about #Bullying in schools-  ' It's just kids being kids' #education #moms #parents #dads,0
@lifeofagreat1 gamestop bully,0
[CL7] Who bully jjongie?!!! *angry* http://t.co/tZTFCbX,1
""" Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.""",0
Acertei o guarda-chuva na cabeça do @gabazito. Pratico bullying.,0
"#DeadpoolSays bullying is wrong, wait, scratch that... Bullying Is FUN!",0
[EN] Conservative MP’s Family Falls Victim to Online Bullying: http://t.co/emqbRt0,0
En mis tiempos no existía el 'bullying'. Se llamaba carrilla y todos la aguantaban!,0
rebecca black has been bullied out of school but that's what you get when you make crap songs,1
@FcSmiliebers vc sofres bullying,0
Aff Amanha Tem Aula Com O Boneco Do Bully De Play  :S,0
@kieran_yates I know - so cute. Love the way he spinelessly dives in to being a bully to win the girl!,0
"@aliendeallstar @gugou complô, agora? bullying?",0
"@SaidCM jaja, yo solamente soy testigo del bulling.",0
Children with severe #foodallergy bullied - story in the Mail - http://t.co/q3kijVj,0
"Le dan color con los tuiteros que almorzaron con Piñera.Tanto bullying,si hubieran sido ustedes los invitados habrían ido igual. #Esonomás.",0
"In the saga of the bullies: no, I won't allow your kid to bully mine in the grocery store while you watch. #mamabear",1
"De Gea needs to eat some pies, gonna get bullied on crosses and corners",0
Then asked me was I old enough to spread em...I said yea spread bullets all over your cranium,0
Kids' bullying is an ADULT problem.  Learn more about the role adults play in Bullying Epidemic: Not Just Child's Play. Coming Sept 2011.,0
"@carolcosta58  zoando da minha tristeza, aaaaaaaaaaaaa, para de pratica bullying!!!",0
"""Seu merda"" - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/D01pV9o",0
"ée vo sar aqi, deixar o bully baixando..",0
"@NathyHartzle, cara isso é bulling, e eu nem estou desdentada, sua vadia vendida u.u",0
di bully ini.sama ka syalfa...,0
i wish the whole bulling-everything-that-breathes fad would go out tho #realtalk,0
"One day, our OCs get bullied at school. What's their reaction? @sasunarukawaii @uchimouchi @Algarich @HarunoMizuhime @michiryan",0
@DantasRodolfo  to sofrendo um bullying agora que é o do meu amigo não me ligar mais e nem me chamar pra canto nenhum sabe? :/,0
"#Denunciar_é_combater!Lute contra bullying,violência,assédio e abuso sexual Infanto-juvenil. #quebreosilêncio",0
"The 64 was the school bully with its crude graceless blocky graphics, the Speccy the beautiful underdog with its charming colour clash.",0
"What is this I hear about cyber-bullying. #GrammarNAZIs, tell your leader Alphabet Hitler that his days of #evildoing are numbered!!!",0
This sat Club Gravity! 'Bedroom Bully' Music by Hot 97 & Power 105.1 Everyone free before 12  http://t.co/vw1RueY ;..,0
@LysaTerKeurst Whoa! this is the deepest truth of all - DON'T BE YOUR OWN BULLY! Truth will silence toxic thoughts & words!,0
"@HilzFuld i disagree again- naked women is not a form of protest against bullying, its cheap.",0
@Richdolarz keep comin at @AYEVERB  so he can get some views i hate a nigga dat try to get on dat bully shit to make they self look good,0
@dannysuarez20 awwww bully... don't let that bring you down!:/,0
"o novo clipe da Jessie J, Who's Laughing Now, será o #4 single do Who You Are, como música é sobre Bulling, o clip http://twitpic.com/633ekt",0
@tearsellingboy im sorry will u stop bullying me now im having a heart attack!,1
Lls im out she aint rockin thats wat im talkin bout bully,0
Filme sobre bullying produzido por alunos da Etec de Guarujá estreou hoje http://t.co/MnJfEfU,0
The Article Bully Domination System – Grab Your Copy TODAY! http://t.co/AbvR1OE,0
"@vickafarahdiba Tul bgt,mb..Say NO to Bullying",0
"@pradoilha se vir pro cfv,vai voltar a sofrer bullying.",0
"@pete_zar that wasn't bullies that was a random attack :L and lol, you, bully me? don't even pretend you do :L",1
"Tão fazendo bullying com a Katy E com o Lil Wayne? Amigo, quer confusão comigo é só pedir! hehe",0
"@lucciiernaga7 si, jajajajajajja plan macabro jajajajajja y le hariamos bullying @MonicaLuck",0
@JeffersonObama The Bully on the Pulpit.  #ChrisChristiePresidentialTourBusName #p2,0
Estamos preparando nossa aula de Bullying com a super orientação da #BarbaraNogueira #stopbullying,0
Just Saw A Video On YouTube About A Little Boy Bullying A Big Ass Boy . Personally I Think EveryBody Story Is BS . I Wanna No What Happened,0
'Friday' Singer Rebecca Black to Be Homeschooled After Verbal Bullying - FoxNews.com: http://goo.gl/k0QGS #rebeccablack #homeschool,0
"Me siento mal trolleando a la gente, me recuerda cuando me hacían bullying en la escuela y lloraba.",0
@alecintra_ Vai dormir pensa em todo Bullying que vc cometei. kkkkkkkkkkkkkkkkkkkkkkkkk,0
played Bully: Scholarship Edition (360) in the last 24 hours. http://t.co/idp64dt,0
@RodrigoToller_ @20matarcom1tiro se ele colocou minha ft no twitpic me autorizou a cometer bullying Lei nº 930138978947324,0
"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/q3SF2JZ",0
@TacyBarbosa1  TO SOFRENDO BULLYING KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,0
Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/LVpwAio,0
@KabThaDon bro i listen to numbers every morning real bully issh,0
mamá; callate vo' mierda   yo; chucha :|      ajdhsajfhsaf mi mamá me hace bulling kajdks XDDD &lt;3,0
Frio é bullying contra os solteiros. http://t.co/HsFux9R,0
@PaytonRaeMusic i love your stomp out bullying video! very inspirational(: i think i will enter...♥ http://t.co/C6NqqwC),0
@ChronIcVamPz I actually got bullied myself as well and tbh I don't really wanna talk about it &gt;.&lt;,1
#WorstThingInTheWorld bullying.,0
"@nolan_aurelia he's a dick to the bully lmaoo that's great, there's on when the dude gets ko'd",0
@AHankeyPankey name calling isnt nice and it's bullying too #stupid lol,0
"@lari_brabo @dann_mainzer acho que essa padronização de celulares é bullying contra o meu, já bastava o da escola agora até de celular --'",0
"Cyber bullying and sexting a growing trend among teens: Students across the county are back in school this week,... http://t.co/L5u4q6W",0
"@DemiSelenaArmy @TheDLNation @mrDdlovato I was never really bullied by other kids, but I had to deal with simi… (cont) http://t.co/ump5IpO",0
não é bullying quando é com a professora de matemática.,0
@nicollezinha1 @Anniiinhah_ a nicol sofreu bullying kkkkkkkkkk,0
Não é bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais. http://t.co/LUAfBdH,0
Un poco de bullying en la odontoma,0
"Victim response may be key to curb bullying, study says http://t.co/xp2HSme",0
"@DNas shyt iono.. i got hella shyt.. esp rockstar.. off the top of my head, the gta's..bully..re4..PrinceOfPersias..TwistedMetalBlack..etc",0
"Yeah, that should put an end to the bullying - I know it’s Thursday, Thursday, but I gotta post this on... http://tumblr.com/xbr4164lxe",0
"Meninos do Tumblr são assim: - › Meninas do Tumblr são assim: › › E eu, sou assim: › › Isso é bullying. http://tumblr.com/xkc40tq1x3",0
@Tori_1098 @vincastronovo @dapitbull63 @austinmahone lmfao ur crying bc u died. SO SELFISH!!! lol jk jk ;P,0
@catherinebray STOP BULLYING YOUR MUM ABOUT HER GUMS,1
"Bullying Victims See Lower GPAs, Particularly High Achieving Blacks and Latinos, Study Shows http://t.co/WEa5ieQ",0
#ThingsWeNeedToChange Bullying between teenagers! Definitely is what I think we need to change,0
@CassJoann Hahahah xD Me haces bullying,0
"This little boy bulling his baby brother ,",1
@TedCollins83 No...just bully pits. From what I remember the Johnson Line are good Am Bulldog. If u just want a pet id try a rescue.,0
faz cara de colírio já to praticando bullying e vocês?,0
#FF THIS PERSON WAS BULLIED BY JESSICA AND THOSE WHO DON'T LIKE OR TALK TO JESSICA SHOULD FOLLOW THIS TWITTER OK. - @jessicahate,1
Não é bullying se eu te quebrar inteiro e dizer que estava brincando de jogos mortais. http://t.co/iq3UheW,0
To sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu. http://tumblr.com/xbn3ycgc4f,0
"Hoje dei como tema para um debate 'bullying' uma galera: 'UUUUU', bullying deve ser debatido dia&noite.",0
"Senhor Pena sofria bullying no galinheiro e, agora, vive sua vingança em restaurante",0
@Tyler_Tyty *bullied,0
hg a @MayaraClemente_ sofreu bulling na sala de aula! UHASDHUASUHDASUDUASDUH se sabe q eu te amo né jumenta? *-*,0
"@Hugocarrascoo jajaja yo no hago bullying, soy buena! ;) y sii soy muy enamoradiza! x'D",0
@HuffingtonPost being black and being bullied in America is nothing new to the majority of black people #dontfetit,1
@quinhodelarosa Amor eu to sofrendo bulling na escola sabia ?,0
"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/zmQzdO5",0
"@HPotterAlways Eu me cadastrei no 2º eu tinha aula, e acordei 4h30 da manhã OK´QWOKS. Mas eu sofro bullying aqui e não recebi o e-mail ):",0
Quelling a bully screed... Educating voters... Helping shed some blue light in a red state... Best Sunday in a long time.,0
@mtvnews Do you have any advice for a girl who gets bullied a lot at school??? How do you stay so confident?? #MTVGaga,0
@mariiacaca @pedro_Sn @juuh_gonzales ISSO É BULLYING,0
"""Never be bullied into silence. Never allow yourself to be made a victim. Accept no one’s definition of..."" http://t.co/HFVW8Mv",0
"i want to be a cyber-bully, which of you losers is going to tell me how to go about it, please.",0
"Being bullied into admitting someone's cute, never thought that would happen :|",1
Fresno Bully Rescue. CA. Be sure to check out our website to see all the latest adoptable dogs at our shelter... http://t.co/35uSGwB,0
@J2ocean all you do is bully me :(,1
SF Schools Expand Bullying Prevention Program - KDLT News http://t.co/9A1q9qt,0
I'm being bullied by @2amv (-_-) ...,1
Adolescente diz que apanha de \ncinco colegas há sete meses em MS: Estudante diz ser vítima de bullying e que ch... http://glo.bo/pd2hlH,0
i usually can stand jim gray but today i was rooting for him to bully that inept ref #boxing @AntonioTarver,0
Mis hermanas me hacen bullying :(,0
@biancagabardo bullying detected,0
I just kick over a homeless dude house......  I'm such a bully #thugLife,1
@Imkidrauhl_ Haters gonna hate because they are jealous! I get bullied & I know how it feels but please put a smile on your face?:) &lt;3,1
To sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu. http://tumblr.com/x6j3ycm8iz,0
"So today in my teen leadership class, this girl started crying cuz she's getting bullied. She almost took her life. Words hurt #stopbullying",1
"@nafaaal Wahahahhaa, ya me están haciendo bullying :C xD",0
"@macstein no jor, I bully Ў☺ΰ in a subtle way, leave d details to me",0
"@thamis_ suuuuuuuumemo, bulling nela ! hahahah",0
@vdashbrown No bully,0
"@gabriel_chalita saiu 1 reportagem acho que na @revistasuper ""Superinteressante"" sobre Bullying, eu não tenho certeza se é nela, vi de longe",0
BULLYING is NOT ok. I really want everyone to get a long. This is such a big problem all around the world! #StopBullying,0
"@JKility Yeaah I am! and im younger than you, you're being bullied by someone younger, thats even funnier. &gt;:D ahaha",1
caio castro fazendo bullying com a(o) pereirão DDDDDDDD:,0
agora é jessie j sobre bullying,0
sofro bulling do amor,0
"@Rissuh123 awe! hahah how cute. i hate the mostttt when kids bully him, i seriously want to strangle them all. -___-",1
@all_lightskin24 follow bck bully,0
Online bullying: back to school means back to reality - Sync (blog) http://t.co/qiPHXrQ #family,0
So The White Gurls Bully The Black Gurls On #BGC? O_o,0
Uma perua metida a intelectual falando sobre bullying no Jô...,0
"@LeadingWomen tears at work come from bully bosses. Change the boss or change your job. Cry for our country, then go do something about it!",0
@zoe960 @BigGuzz @husenrosadi @Dannyel_SOC wkwkwkwk abis dah gw di bully disini ahaha ampooonn!!!!,0
Não é bullying se eu der um tiro na sua cara e fingir que estava brincando de policial.,0
I beat that pussy up&it don't fight back im a bully.lol @PlainJanee101,0
"""Seu merda"" - ""Isso é bullying"" - ""Só se for com a merda"".",0
@bellathorne143 I love how much confidence you have. I don't have any because i feel like such a loser when ever i get bullied in school.,1
"[Fan]: My friend keep bullying me huhu[Jonghyun]: Who is that, bring him/her over~! #JjongUFOReplies",0
"America loves the underdog as an archetype, but is itself far removed from the actuality of being the underdog. We are the bully.",0
"@hikka_kun bagi empek2 nya.. Kasian juga ya tuh nasi, msh ter-bully.. XD",0
@YoHoeLikesMeTho lol you're a bully,1
"Seriously, does anyone who's worked not have a story about workplace #bullying from some time in their career? Just curious.",0
"@L_L_Q_98 hhaha yes, anyone bully you call me hor.",0
@angeliin_n HAHAHAHAHHAHAAHAH vamos hacer cber bullying a @EmanuelBoldo  Hahah por joto,0
"“@HellenLapas: Sofro bullying na escola..... Why the hell tem um saco de tampinhas de refrigerantes na minha mochila, @Louise_Duarte?”love u",0
Sure this bus is the early teen bully bus :@,0
"Lmao XD ""@Cycokid22: Lol Rebecca Black got homeschooled for being bullied alot.""",0
«@keystonepol Philadelphia's Anti-Bullying Programs a Model for Nation http://t.co/XQU0KIs #papolitics»,0
"the WWE having an anti-bullying campaign will never, ever make a single ounce of sense.",0
meu ídolo http://imgs-srzd.s3.amazonaws.com/srzd/upload/z/a/zangief_+bullying.jpg,0
Dailymotion - Casey Heynes vs Bully http://t.co/azxBimV via @DailymotionENSERIO VEAN ÉSTE VIDEO ESTÁ CAGADÍSIMO!,0
"Bully of the playground, I will not let you slide BITCH !",0
Hoelaat begint bully beat down..??,0
@Dnl2Silva bullying u.u KKKK acho justo,0
#bb13 WOOHOO I'm so glad Jeff got evicted. He thinks he can say & do what he wants to people. He's such a bully. Aww Dani ur girls came thru,1
#Np Bully - Three Days Grace ♥,0
TAMPA: JUL 8: NOW BOOKING: @ScrapBoyz Anti-bully Awareness Tour f. @DJUnk_ItsAgo http://conta.cc/jyUz5a: 404-532-9232,0
@x_aye_itsTAY ur seven feet tall when u stand on top off TWO chairs lol and yes i remember u gettin bullied like the lil person u are! haha,1
@DudaRodrigo @melissabarbosa_ não fala em bullying que #Lorraynne aparece!,0
@eljorobado #bullying,0
Christian Bully?: A local St. Mary's County woman recently confronted a grieving father about an unsubstantiate... http://t.co/7sYw98q,0
"Damn, Kurt Cobain got bullied because people thought he was gay cause he hung with a gay kid. Fucked up.",1
Bullying  só os troxa e idiotas fazem !!,0
@djlogansama u lot should be bullying that league man.,0
"@TakeAStand2Day 
No problem and thank you for what your doing about bullies and I will take a stand against bullying. (Thang again).!!!!!!!!",0
I favorited a @YouTube video http://t.co/30nSkfD Pink - Perfect (AHMIR cover) - Anti-Bullying video,0
#SeguridadMH: Si eres víctima o conoces algún caso de #bullying repórtalo al 5533-5533 24/7 por @elconsejodf ccp @PrevencionMH #NiñosMH,0
@owillis @rootless_e don't know their plan so weak leaders they r like follwers on school payground they go after the kid the bully go after,0
How To Stop Bullying - Information You Need: Bullying no longer happens just on the school playground. The probl... http://bit.ly/oEuF3G,0
"Perola de @AliineNunes_ : ""Ele ta sofrendo bulling."" ""Porque? alguem ta bulinando ele?"" rsrsrsrsrs #ridemais",0
Sometimes you just got to punch a Bully in the mouth.,0
Mad that someone I'm not fond of is in one of my classes. #Bully,0
Trade of the Day: Gold Miners $GDX Bullish Spread http://t.co/GGMR9TA $$ $options,0
"@YNWA_16 @alexrpayne im not talking to you anymore, you just bully me :P",1
"até que foi legal na escola hoje kk, acabou a luz, depois teve um teatrinho sobre o bulling e um video,que eu ria pouco das coisas que a (+)",0
"@Moccochang Você sofre bullying? Acho que sim né, vai fazer algo que preste ao invés de ficar irritando os outros. E eu sou mt trouxa...",0
@garonhonasan KITA MO NA! Ngayon you're cyber-bullying me naman... hahaha! @jaczie,0
@Shiying_  only know how to torture & bully me,1
"Awesome post by Peter Switzer about Biz Confidence: Staff bullying, carers leave, wage rises, interest rate rises: http://bit.ly/qLg9br",0
@CastorDownloads O jogo Bully que tem no seu site é legendado em portugues,0
"@VinCastronovo Vinny can I get a GRANDnight please and will u follow me :) STARVE A BULLY, FEED YOUR SOUL, and STAND GRAND :D",0
"#NEWMUSIC Ca$h Feat. DanMan Tha Bully - ""Throw It Up"" - http://twitrax.com/s/omehf4",0
@LyndseyBoo wow!! Leave lyndsey phone alone!!! #bully's! #pervs,1
"@alinedel05 E eu, que sempre escrevi muçarela e sofri bullying da galera?! rs",0
Top 5 Expert Tips to End Teen Bullying from Dr. Janell Dietz ~ What to Do if Your Kid is a Vi... http://t.co/oumg1p0 via @MommyLTLORiley,0
@chance_second @Joe_Hunter I'm pretty sure Batman bullied Ray Palmer into shrinking the t.rex and penny so he could put them inside his crib,0
Creo que @BrendaGzzP ya le entró también al bullying a Ninel jajajajaja,0
@josesieto_ @tateconomides isso é bullying !1!111,0
"ta dando um filme sobre bullying na tv , triste isso D:",0
@iAdoreParkerTW @jizstik_nath_tw pfftt im getting bullied on birthday ;) lol cx,1
Não é bullying se o remedio for amargo.,0
"I've bought one of those anti-bullying wristbands. Well, when I say 'bought', I snatched it off some short fat ginger kid...",1
Cyber bullying is not the way!!,0
Australia Spends Two Months Deciding Whether Red M&M Is a Bully http://bit.ly/nCtrgd #Advertising,0
Lol the bully @100MeatHer_Dash is at it again! And she's really good you have to just listen,1
i have a bully but she will remain nameless until she takes my lunch money again,1
Hoje a @mandinhacc e a @_thaitter praticaram bullying contra mim ):,0
@SusanSaundersJZ @klout must be Cyber Bully!  Just like Jill Zarin,1
"@IphannieBGentle lmaooooo, girl no I'm no bully.",1
@HeKissNonMYtatZ lmao..dats how my lil hoe is ...she terrible doe..n she a bully lol,1
@GraceNgDreamer I want sister lor!! Kor not good de bully me one!,0
@utterflea lol.he might say ohya that tablet s nt released yet.nice (when people who seen 3 recessions) bullying kids.# MillenniumJobHunters,1
my cousin called me a bully :( http://t.co/QteOE9W,1
*next* silahkan nyepam dh kalo mau ng.bully :),0
Reblog if you are against bullying - › this must have more notes http://t.co/CCAmcop,0
@FelipFernandess meeeeeeeu... ainda não vi vc contando a história do bullying...,0
Just gave a shit about bullying. Give a Shit at http://t.co/Wchx9kt #giveashit,0
Pqp...todos os canais da TV falando de bullying isso bullying aquilo..essa poha sempre existiu e só agora que o povo ta ...,0
Veja imagens da passeata contra o bullying realizada pela Igreja Adventista do Sétimo Dia de Pariquera-Açu: http://t.co/C65wyxi,0
Bullying hurts! Rt if u want it to stop!,0
"""@IronManMANNY125: I have anger issues that have yet to be resolved""&lt;==Lmaoo u ventin n shit...fuckin bully lml",1
"@chellsSOgutta haha, what? You got a bullying?",0
"Read my response to ""Pass this on to ask your followers if you believe bullying is wrong. If not, then I feel sorr…"": http://4ms.me/mScY6L",0
#oomf is a bully,1
Debe ser Cuatico Que te haga bullying por twitter XD,0
Ridgewood school district adjusting to new anti-bullying policy: New Jersey's Anti-Bullying Bill of Rights Act will... http://t.co/IPcClLx,0
"@AudreeJo this issue is mostly that James Potter is a bully, even in the Petunia/Vernon backstory he is very unlikeable",1
"Read my response to ""Pass This On If You Are Anti-Bullying. #NOH8 ♥"": http://4ms.me/oft1SW",0
@JosephJ89 bully - pouts-,1
"@SuperElmo Meet ENZO, the bullied guy, and girls' best friend, until he met the sexy teacher. :))",1
Kids across Green Country are headed back to school wearing yellow for Lets take a stand against bullying :). Do... http://t.co/JzApYDE,0
@meutiaisty @hanaafifa masasih muka bully (•̯͡-̮•̯͡)?,0
V não precisei cantar músicas óbvias pra sofrer bullying.,0
Secret's Anti-Bullying Campaign Appears to Get Facebook Fans Engaged: Procter & Gamble Co.'s Secret deodorant ap... http://bit.ly/nv26a2,0
"@sredrow2 you're a bully! Guess I should pass along the ""get well soon"" bear http://yfrog.com/h3meaudj",1
"Be a friend to the person who is being bullied: talk with them, sit with them at lunch, play with them at recess. #stopbullying",0
"We should take the ""Stop The Bullying"" & change it to ""Quit Being A Dick."" #fb",0
HELP OTHERS AND STOP BULLYING! - @bellathorne143,0
